"","Geneid","E1_S1_L001.bam","E2_S2_L001.bam","E3_S3_L001.bam","E4_S4_L001.bam","E5_S5_L001.bam","E6_S6_L001.bam","L1_S1_L001.bam","L2_S2_L001.bam","L3_S3_L001.bam","L4_S4_L001.bam","L5_S5_L001.bam","L6_S6_L001.bam","enriched_mean","enriched_sd","unenriched_mean","unenriched_sd","enriched_m_mean","enriched_f_mean","unenriched_m_mean","unenriched_f_mean","enriched_m_sd","enriched_f_sd","unenriched_m_sd","unenriched_f_sd"
"21","slc22a23",759.567909117746,718.909041950301,1369.33785489096,955.914364816941,1592.83667817602,1501.69275967603,1633.57397947637,1696.54292166851,4169.56029909244,1208.68059162671,2193.01496665324,1905.27552804742,1149.70976810467,385.706254918084,2134.44138109411,1048.55263269027,949.271601986337,1350.147934223,2499.8924000791,1768.99036210912,364.355634637142,344.444311761513,1446.31754523925,506.12130493177
"22","cyp8b1.2",566.062765251597,338.422607513839,473.716879529846,135.579242962639,89.2454168040155,146.427246338942,491.658187997742,237.181165035893,324.824102620516,134.50541359679,69.344346771644,159.220208447155,291.575693066813,198.521385609279,236.122237411623,153.115988720048,459.400750765094,123.750635368532,351.221151884717,121.02332293853,114.493336097891,30.3706663649625,129.275836726257,46.4299763554438
"23","cyp8b1.1",26281.3708258373,8391.09614035254,9202.93729503295,7075.54174211273,7529.59701339965,6335.41885826487,20919.2629022265,6122.06442457352,7382.36596864809,5660.43615553159,5989.61795240075,5273.94578092374,10802.6603125,7648.86706712539,8557.9488640507,6097.44524722618,14625.1347537409,6980.18587125909,11474.564431816,5641.33329628536,10102.7546264095,602.772696072051,8203.58683096787,358.218304501863
"24","cyp8b1.3",111.606701234003,86.0396459780946,42.7661071797778,68.5966407846687,71.2993275553819,72.2374415272112,91.6352178347045,27.903666474811,21.6549401747011,37.3626148879973,13.0020650196832,32.2018399106606,75.4243107098562,22.6371273907724,37.2933907170929,27.9347791003662,80.1374847972917,70.7111366224206,47.0646081614055,27.5221732727804,34.7977510392235,1.89032641147979,38.7255223345096,12.8368047953111
"25","aldh9a1b",2619.14431241235,2418.67004805088,4687.82328701411,2777.76044212741,2830.14677745343,2207.14669314898,1966.63275199097,1604.46082230163,3500.22578460168,2086.70204149465,2041.32420809027,1542.11033349941,2923.44859336786,894.811624122242,2123.57599032977,712.110068411264,3241.87921582578,2605.01797090994,2357.10645296476,1890.04552769478,1256.22974627308,345.560772198719,1006.39628448999,302.173727284395
"26","prdx1",984.387163402068,1428.25812323637,1261.60016180345,673.457608644776,359.891843850975,478.654398587963,627.348799022208,888.731777222729,779.577846289238,448.351378655968,182.028910275565,375.68813229104,864.374883254266,431.251205846098,550.287807292791,264.403985006861,1224.74848281396,504.001283694571,765.219474178058,335.356140407524,224.218402298549,158.312098877932,131.281710304619,137.665959728709
"27","mtf2",14.4526663468493,17.8452599065678,19.7382033137436,106.930057693748,35.4071490581148,69.6342904811856,21.1465887310857,37.6699497409948,7.87452369989129,153.186721040789,54.1752709153469,153.853235128712,44.0012711333682,36.9780914089354,71.3177148761365,65.548245075788,17.3453765223869,70.6571657443495,22.2303540573239,120.405075694949,2.677991375161,35.7724240201623,14.927249033378,57.3576615729366
"28","abcd3b",342.849362783591,257.481607223335,235.213589488778,608.492554725178,631.023300337088,618.899161192593,225.56361313158,110.219482575503,149.615950297935,405.384371534771,357.556788041289,332.752345743493,448.993262625094,190.309202852853,263.515425220762,119.730867760078,278.514853165235,619.471672084953,161.799682001673,365.231168439851,56.8169252893225,11.2762782423345,58.629340795423,36.9191668176924
"29","tfa",3469203.57723136,3261810.14150218,3685689.20959606,1671692.06572934,2337153.63993973,1677055.33146707,2825825.70099789,2354737.39684299,3249363.14583239,1755904.65806079,3723657.06696541,1466657.84460652,2683767.32757762,906950.658181955,2562690.96888433,869946.928921973,3472234.3094432,1895300.34571205,2809975.41455776,2315406.52321091,211955.785708577,382665.573797451,447523.44226184,1228125.85888499
"30","dnajc1",2632.79405285104,2314.78514216622,4460.83394890605,2703.51466621929,2496.44652331667,2106.59998399624,1998.3526350876,1607.25118894911,3456.91590425228,2374.39417613223,2312.200562667,1781.83514172322,2785.82905290925,848.859648404864,2255.15826813524,659.008336746642,3136.13771464111,2435.5203911774,2354.17324276299,2156.14329350748,1158.18716174267,303.085432916943,974.818505361,325.648515670009
