"","X.x","Geneid","Length","E1_cpm","E2_cpm","E3_cpm","E4_cpm","E5_cpm","E6_cpm","CPM_mean_E","CPM_sd_E","X.y","L1_CPM","L2_CPM","L3_CPM","L4_CPM","L5_CPM","L6_CPM","CPM_mean_UN","CPM_sd_UN"
"78",183,"mgst1.2",2149,4620.6761261341,4938.46462471347,4831.04590232416,8523.92805995907,3337.08574945738,4552.12762679958,5133.88801489796,1757.98777735902,2380,254.58093651729,303.124753788368,278.511881571798,317.957932293932,155.648441234996,160.873456380416,245.116233631133,70.6782608333942
"79",185,"abcc9",5739,7.95672074363512,15.4780818621837,23.4512163697879,70.6570108108841,41.4655479607373,47.9545243556726,34.4938503504834,23.3466355217636,2411,0.304068004201003,0.452502933828877,0.853477220192039,1.56575711047172,0.883057264036733,1.24002371490417,0.88314770793909,0.472225507897735
"80",186,"akr1b1.1",2607,1075.48342051468,695.904995185708,240.231972568559,101.829221462745,129.984774369108,177.131170447662,403.427592424744,395.165155409346,2415,52.6341715271937,38.2539018675336,11.7631425565598,4.29672881478286,6.21979464234568,5.99606403915687,19.8606339079288,20.4866804327333
"81",187,"akr1b1.2",1615,111.2046446789,62.9557936416909,35.6534752939052,110.774290606322,70.2160743788267,145.84460042644,89.4414798376809,40.1853042603335,2416,7.84495450838589,6.78754400743316,1.92960067173852,5.04319441396124,4.95279943742341,6.81228218061278,5.56172920325917,2.102933852226
"82",190,"dnajb9b",1106,22.3545963749749,6.08688612557785,104.672502333444,48.2491608350538,11.824160160679,10.3833158149035,33.9284369407721,37.8467526722681,2464,0.942610813023111,1.0442375396051,6.4567407092789,2.73097170431114,0.595103808372581,0.674949616973156,2.07410236526067,2.28582396606863
"83",191,"pparaa",5665,23.680716498914,90.2598256907116,74.1668550231504,109.057560164625,90.5439113673912,103.218356554731,81.8212042165873,30.9381917362867,2475,3.67922285083214,25.2183365814632,20.8359764842535,8.92117423408305,9.36808575760708,9.65334917298816,12.9460241802045,8.22894130566202
"84",197,"slco1d1",3268,7883.40524535448,6274.01439618133,6831.26306440095,7055.31034420445,6927.9050179792,7166.74218479583,7023.10670881937,523.218584293683,2682,494.201727227891,468.671211733763,551.531822770186,253.852923154735,300.412241845888,237.221245611984,384.315195390741,136.271147347239
"85",200,"hspa5",2340,788.852028011825,441.820977200872,10612.7240389553,4415.97282144648,1053.07914088568,1055.68264870736,3061.35527586792,3973.41881925406,2774,41.3836553717566,26.001514736167,567.339705196352,149.984966000768,39.0848823821476,34.4381269683512,143.03880844259,212.937326514116
"86",204,"hspb1",943,36.373580542332,59.1297509341848,48.2370548094012,76.8010987074827,49.7262625935404,86.8919586615605,59.5266177080836,19.0104781809822,2791,2.52376443486833,4.59464517426245,3.52523199644538,3.78694742997811,2.38041523349032,3.65728513383129,3.41138156714598,0.832508104495748
"87",205,"prdx4",1135,1777.2851346765,1604.5901382184,1168.65228242777,4046.5143595466,3061.40464543717,4407.92249729129,2677.72817626629,1360.44761826826,2801,61.7866184536439,55.7970925328993,41.9317069050871,106.052734517416,92.4906499593256,104.114902543789,77.0289508186935,27.3131103094676
