"","Geneid","Length","E1_cpm","E2_cpm","E3_cpm","E4_cpm","E5_cpm","E6_cpm","CPM_mean_E","CPM_sd_E"
"67","abcd3b",1980,40.4466637801452,35.1300284961922,27.2644222835746,136.254184530452,105.36460526742,129.928070262805,79.0646624367648,50.3076166112868
"68","tfa",2224,409269.276553164,445031.722676599,427221.008934246,374326.748015595,390244.338980855,352071.188013227,399694.047195614,34367.5923729522
"69","rxrga",1867,10.7984067235048,15.1302597978649,13.727541289632,59.453085822969,57.0151284460138,70.7704946331578,37.8158194521904,27.3774203691374
"70","ptgs2a",2135,1.32612012393919,0.521733096478102,0,0.180708467547018,0,4.3719224483804,1.06674735605745,1.69407567257425
"71","dnajc1",2039,310.596277599757,315.822434401411,517.07072190947,605.373366282511,416.842139363115,442.24728016898,434.658703287541,114.737786011671
"72","cyp7a1",1981,121.24526847444,18.7823914732117,62.6319071339458,442.735745490194,4439.16226635136,621.222855399553,950.96340572045,1725.17140936399
"73","agxtb",1566,0.378891463982625,0.173911032159367,0.762641182757331,0.90354233773509,5.34516829181379,1.36622576511888,1.48839667892785,1.93480040233242
"74","rps28",513,0.189445731991312,1.21737722511557,2.28792354827199,3.25275241584633,6.80294146230846,3.55218698930908,2.88377122880712,2.29495600747244
"75","acadm",1631,0.568337195973937,0.173911032159367,0.953301478446664,0.180708467547018,0.809873983608151,0.409867729535663,0.5159999812118,0.322813573401934
"76","rps8a",694,0.568337195973937,1.0434661929562,2.85990443533999,4.51771168867545,13.2819333311737,6.28463851954683,4.75933189394435,4.69040712561843
"77","dnajb6a",3972,61.0015257012026,82.2599182113807,105.62580381189,175.467921988155,140.432148757653,123.165252725467,114.658761865958,41.0968616991115
"78","rpl7",826,1.13667439194787,0.173911032159367,1.143961774136,4.87912862376949,15.8735300787198,5.87477079001117,4.84699611512394,5.864443355399
"79","abcf2a",2419,68.5793549808551,186.606537507001,308.869679016719,791.412733622166,650.490783634067,514.930490873305,420.148263272352,279.42942313378
"80","si:dkeyp-73d8.6",930,0.189445731991312,0.173911032159367,0.953301478446664,0,1.6197479672163,0.54649030604755,0.580482752643533,0.612436481031407
"81","sec62",1317,0.189445731991312,0.434777580398418,0.381320591378666,1.44566774037614,1.13382357705141,0.88804674732727,0.745513661420537,0.489841005202452
"82","LOC103910098",734,0.75778292796525,0.347822064318734,2.66924413965066,4.51771168867545,3.80640772295831,0.683112882559438,2.13034690435464,1.78633220313309
"83","keap1a",3068,369.60862311505,1443.98330001923,471.312250944031,846.61917045778,943.179241310052,814.543801163874,814.874397835002,381.980246207293
"84","cyp7b1",3752,102.300695275309,10.7824839938808,47.0930930352652,68.3078007327728,24.4581943049661,52.4630693805649,50.9008894537931,32.4671615692905
"85","slc39a6",2935,25.3857280868359,50.9559324226946,56.7214379675765,123.785300269707,107.713239819884,81.0171878715494,74.263137739708,37.0321733873803
"86","apom",2093,2.08390305190444,1.91302135375304,3.62254561809732,1.9877931430172,3.40147073115423,2.04933864767831,2.50967875760076,0.781706875232148
"87","gtpbp4",2229,0,0.695644128637469,0.762641182757331,1.08425080528211,3.56344552787586,1.91271607116643,1.33644961928653,1.25548265028158
"88","slco5a1a",5859,14.5873213633311,30.9561637243674,28.4083840577106,70.8377192784311,97.9137646182254,83.0665265192277,54.2949799268822,34.0457833880987
"89","gigyf2",5997,0.378891463982625,0,0.381320591378666,0.722833870188072,1.29579837377304,0.956358035583214,0.62253372248427,0.464731673699147
"90","per2",5482,31.4479915105579,153.650396912801,95.9974588795791,338.828376650659,370.922284492533,303.302119856391,215.69143805042,140.752506144336
