"Geneid","E1_S1_L001.bam","E2_S2_L001.bam","E3_S3_L001.bam","E4_S4_L001.bam","E5_S5_L001.bam","E6_S6_L001.bam","L1_S1_L001.bam","L2_S2_L001.bam","L3_S3_L001.bam","L4_S4_L001.bam","L5_S5_L001.bam","L6_S6_L001.bam"
"slc30a6",1075.11779102396,1505.37513926118,1563.43018747611,1278.72208615656,1258.65139460011,1140.18015815923,493.420403725332,580.396262676068,539.404873442553,915.384064755934,745.451727795173,674.449647017724
"abcc2",20363.0039568025,39733.1085126841,24332.2701350174,37098.2738653038,32036.1944560066,34136.4212420571,11375.1025215965,19515.8243324828,12861.0658328475,23992.4031503275,20525.9266444066,21435.6914338631
"gsta.2",398.251250446514,534.720466486084,192.447482309,470.895763504167,446.71211345923,596.772377301376,308.387752328333,359.957297525061,133.866902898152,455.823901633567,403.064015610181,422.201901050883
"gsta.1",4669.01415594048,3582.43592624348,2424.50930703817,3898.71025447923,3900.60674966246,5017.89903509515,5413.52671515793,4484.11920250212,3216.74293140559,5344.72205972802,4624.40112533401,6043.2119565673
"gclc",457.667767650227,676.207884316729,667.809212114992,1181.476260103,2113.27326638639,1029.54623870314,588.580053015218,1103.59000907877,740.205227789781,1221.75750683751,2000.15100219461,1232.61487213584
"ncoa4",2488.26738938255,7591.24609811174,4714.9633165705,5729.8370537782,8369.66800201136,6574.58336061848,5852.31843132796,14438.7522173909,8971.05112510116,7756.47885074824,11747.3657452838,9472.70790705265
"abcg2c",1249.3527130943,2781.94855329173,4254.40523924982,618.983805668716,710.083098918906,808.929187552464,690.788565215465,1282.17347451756,2200.92937411962,405.384371534771,340.220701348378,490.1835630845
"prdx3",12332.9419493114,8075.61743843286,8363.24122906078,3519.0076722535,3979.18151880512,3902.77420575392,8441.01333515836,5370.06061307737,5772.02587202032,2792.8554628778,3025.14712791297,3082.43167589268
"abcg8",3574.62614312072,4488.72019721274,3159.75738047512,3991.51747436437,2977.11069751656,4544.77633248,2655.65910147884,2687.1230815243,1943.03872294818,2641.53687258141,1961.14480713556,3123.57847133408
"abcg5",1874.02906964146,3027.32087700703,2093.89440153297,2229.39082550173,2243.74618551835,3238.31990125588,872.296785157284,1317.05305761108,913.44474918739,1389.8892738335,1278.53639360219,1987.56911893022
"nat8",1250.15563900246,574.872301275862,721.266846089714,882.475608212178,678.071155934857,855.135118619419,4167.64019575147,3492.14385932259,4925.514574282,2019.44933469626,1984.98192633831,2026.92692326547
"slc39a8",1082.34412419738,48.4371340321125,1736.96189160944,122.666934109055,60.14365045488,41.6504167364101,1189.49561612357,117.195399194206,2641.90270131353,138.24167508559,47.6742384055052,57.2477153967299
"adh8b",12362.6502079132,29723.1923665215,10872.4603253204,2730.14630322981,7439.38153771733,11199.7319816445,6583.637958278,14941.0182139375,6142.12848591521,1965.27354310866,5096.80948771583,7338.44151741832
"adh8a",326621.427253804,270513.745600817,346856.157131864,73011.8433932913,261357.143228316,173824.109522838,210625.310408796,151430.407592152,217301.41876035,57458.0973055067,237346.195901808,130268.965376365
"nfkb2",1246.14100946167,485.646001743023,1751.76554409474,1556.7402361603,1854.26754587908,1057.53011244791,1187.73340039598,509.2419131653,1437.10057523016,1337.5816129903,1590.58595407458,941.009321833748
"abcb10",128.468145305327,289.348142770777,205.606284518163,430.544798336714,465.143232147015,420.408893933139,140.977258207238,346.005464287656,318.918209845597,381.098671857573,303.381517125942,325.596381318901
"gsto1",43.3579990405479,1456.93800522907,0,3.22807721339617,6.79041214813161,169.204817991666,70.4886291036189,2232.29331798488,0,11.2087844663992,4.33402167322775,390.000061140222
"gsto2",563.653987527122,3004.37697141287,174.354129271402,755.773577586379,474.358791490908,862.29378399599,405.309617345809,2126.25938538059,82.6824988488586,500.659039499164,260.041300393665,842.614810995618
"cyp17a1",9.63511089789952,10.1972913751816,4.9345508284359,151.71962902962,64.9939448464026,81.9992579498073,7.04886291036189,2.7903666474811,3.93726184994565,100.879060197593,39.0061950590497,42.9357865475474
"hif1an",407.886361344413,472.899387524046,555.959393337111,1593.05610481101,2535.24887844885,1627.29479764677,514.566992456418,627.832495683247,836.66814311345,1950.32849715346,2882.12441269645,1933.89938574578
"dnajb12a",855.116092188583,740.578286122562,1358.64632809602,892.159839852367,855.106901225431,804.373673221919,1036.1828478232,954.305393438535,1685.14807177674,1040.54882463073,715.113576082579,815.779944403401
"ephx5",7563.56205485113,6321.68332190163,6994.72579930789,3503.67430548987,4683.92929389336,4012.43194356775,3982.60754435447,3193.57462804211,3437.22959500255,2256.70193923504,3092.324463848,2592.24811280818
"esr2b",1768.04284976456,4101.86045566679,7433.07839790061,7426.99864872124,10609.5339520165,9722.11836914422,1788.64896350433,3854.89152349513,7217.00097095037,6826.14974003711,9203.29502309912,8689.12980255991
"mgst3b",32939.2324562858,14701.3075094571,13245.9792737981,7433.45480314803,4507.37857804193,9215.15470293073,28954.966620039,14988.4544469447,12764.6029175238,6779.44647142711,4589.72895194819,9669.49692872891
"dnajc12",406.280509528097,370.289143061281,418.614395278979,275.193582442024,199.347099491578,259.338922960303,352.443145518094,292.988497985515,328.761364470461,203.626251139585,145.18972605313,169.954155084042
"slc30a10",27.299480877382,1430.80744608017,4.9345508284359,8.07019303349043,8.73052990474064,144.800276935176,24.6710201862666,1321.2386075823,7.87452369989129,14.9450459551989,4.33402167322775,223.623888268476
"gstp1.2",50076.8830400165,29377.7591211872,22759.7932710225,12040.7280059677,13186.9803916716,20929.0090161653,38183.6903854303,23100.0502911723,16325.8562607996,11092.9603602464,12098.4215008153,19378.3516617931
"abca1b",114.015478958478,594.629553315276,2032.21251617752,2689.39182841069,2279.63836401561,684.628725104741,151.550552572781,1178.92990856076,2405.66699031679,1899.88896705466,2149.67474992096,661.92670927469
"dnajc4",770.808871831962,792.839404420368,679.323164048009,501.966006683105,447.682172337534,502.7335457637,1082.00045674055,701.777211841496,744.142489639727,635.164453095955,489.744449074736,792.52306002348
"abcb7",1726.29070254033,1182.88579952106,1750.1206938186,2630.88292891788,2875.73954473374,2645.7776444043,1145.44022293381,865.01366071914,1346.54355268141,1955.93288938666,2045.6582297635,1921.37644800275
"hspa9",2626.37064558578,2414.84606378519,4844.90648838598,6091.78521133025,8526.8175402967,4375.24612060758,4074.24276218917,3542.37045897725,6303.55622176298,6446.91919892394,8928.08464684916,4966.23931066632
"hspa4b",2399.14261357698,3696.51812350332,4084.16323566878,2950.4625730441,4576.73778784071,3264.67680559689,2093.51228437748,3058.24184563928,3260.052811755,2578.02042727182,4082.64841618054,2937.5233962947
"nr3c1",820.590278137776,780.73012091234,606.949751897616,886.107195077249,1601.0821786416,1327.60703347307,1369.2416203378,1450.99065669017,1124.08825815948,1040.54882463073,1672.93236586591,1377.52315173381
"cyp4v2b",46735.1054102616,37080.538093715,41619.6465373045,30456.9085083929,19440.9499801008,22352.9326383413,39641.0427921477,30075.966909875,36447.2329449468,26400.4236798589,20229.0461597905,21006.3335683876
"gsr",1650.81566717345,3621.31309961136,1358.64632809602,420.860566696526,403.544493374679,777.365981119404,1277.60640250309,2914.537963294,966.597784161656,330.659141758776,322.884614655467,744.220300157489
"adh5",49525.2729411117,42766.1653660897,50753.5001207394,38376.188932157,49586.9847117311,52586.5796746445,29102.9927411566,21918.330015964,27714.3861617674,26781.5223517165,34947.383762072,35659.9597188443
"slc30a9",1225.26493584956,567.224332744476,907.134927294133,1097.5462525547,987.034908674845,1015.55430183075,1244.12430367887,728.285694992566,1070.93522318522,1139.55975408392,1020.66210404513,1032.24786824729
"mgst2",4070.03142845439,6704.08174847094,4457.54424835376,3381.81439068416,4861.93509806223,3934.98819994849,2534.0662162751,3846.52042355269,2429.29056141646,2363.18539166583,3343.69772089521,2631.60591714343
"gpx3",8632.25643860981,1472.23394229184,3508.46563901793,2808.023666003,3270.55350820368,3639.85595010534,44807.8593054429,16604.0767358363,48951.9765803742,10913.619808784,13470.1393603918,14222.4792938751
"nfkb1",14.4526663468493,14.0212756408747,50.1679334224317,258.649686723368,246.394955089347,134.06227887032,59.915334738076,200.906398618639,431.130172569048,575.384269275159,699.944500226281,407.889972201701
"cyp2y3",35951.8104636958,20699.2268301967,22272.9175892835,19115.0592191254,10614.384246408,15359.8927470742,26149.519181715,14123.4407862256,17083.7791669142,15910.8695500537,8449.1752519575,12075.6899664977
"dnajc30b",969.934497055219,521.336521556158,421.081670693197,441.843068583601,297.808075639486,368.020479131873,750.703899953541,438.087563654532,381.914399444728,414.72502525677,257.874289557051,377.477123397188
"bach1a",16.0585181631659,36.3278505240844,34.5418557990513,101.684432221979,144.053743428221,123.649674686217,387.687460069904,358.562114201321,641.77368154114,708.021552127549,1079.17139663371,864.082704269392
"aldh3a1",16.0585181631659,149.135386362031,34.5418557990513,28.2456756172165,23.2814130793084,50.1106576359934,45.8176089173523,298.569231280477,47.2471421993478,54.1757915875961,8.6680433464555,132.385341854938
"aldh3a2a",2890.53326936986,2390.62749676913,2641.62954348935,2280.23304161272,1044.75341193396,1515.35930266767,1779.83788486638,1649.10668866133,1598.52831107793,1696.26271591508,702.111511062895,1186.101103376
"hif1al",3548.1295881515,4720.70857599812,6584.33565540964,7539.57784153843,8767.87717155537,6366.98206469794,6833.87259159585,7312.15579972421,11036.1449653976,8238.45658280341,8880.41040844366,6644.31296823297
"slc47a3",175.037847978508,248.558977270051,176.82140468562,513.264276929991,348.736166750474,671.612969874612,133.928395296876,281.827031395591,194.894461572309,476.373339821966,333.719668838537,577.844127285743
"slc47a4",105.986219876895,91.7756223766342,95.4013160164274,211.842567129124,188.191422391076,278.211768043989,144.501689662419,36.2747664172542,70.8707132990216,209.230643372785,188.529942785407,164.587181765599
"hspa13",541.974988006848,427.648907046678,1439.24399162714,1028.14259246668,553.903619511879,625.407038807657,525.140286821961,318.101797812845,1216.6139116332,807.032481580742,355.389777204675,416.83492773244
"hsph1",19.270221795799,16.5705984846701,4.9345508284359,91.5966909301164,47.5328850369213,111.284707217596,42.2931774621713,13.9518332374055,7.87452369989129,119.560367641591,47.6742384055052,107.339466368869
"clpb",27.299480877382,168.255307690496,78.9528132549744,374.86046640563,567.969473247294,454.575251412225,7.04886291036189,166.026815525125,118.117855498369,410.988763767971,593.760969232202,420.412909944735
"mtf1",4.01462954079147,15.2959370627724,14.8036524853077,79.8949110315553,72.7544158728387,74.8405925732368,14.0977258207238,8.37109994244329,11.8117855498369,85.9340142423938,130.020650196832,89.4495553073905
"arnt",110.803775325845,103.884905884662,208.895985070453,756.984106541402,566.514384929837,894.83317207131,218.514750221219,512.032279812781,596.495170266765,1008.79060197593,890.641453848302,1103.8075124932
"cyp4t8",14223.029537116,13031.5010467711,14898.2313761861,14069.5745345872,15963.2889013791,14695.1130486954,8550.27071026897,7144.73380087535,9175.78874129833,9590.98324174891,10525.1716334336,10182.9373761933
"rxrbb",571.683246608705,378.574442303616,626.687955211359,813.475457775835,1025.35223436787,857.412875784692,486.37154081497,343.215097640175,592.55790841682,790.219304881143,927.480638070738,905.229499710792
