"","X","X.x","Geneid","Length","E1_cpm","E2_cpm","E3_cpm","E4_cpm","E5_cpm","E6_cpm","CPM_mean_E","CPM_sd_E","X.y","L1_CPM","L2_CPM","L3_CPM","L4_CPM","L5_CPM","L6_CPM","CPM_mean_UN","CPM_sd_UN","FC_E1","FC_E2","FC_E3","FC_E4","FC_E5","FC_E6","FC_UN1","FC_UN2","FC_UN3","FC_UN4","FC_UN5","FC_UN6","mean_FC_un","sd_FC_un","mean_FC_e","sd_FC_e"
"234",235,506,"aldh18a1",4493,83.3561220761775,67.3035694456751,173.310208781604,518.633301859942,346.950014577732,374.20923706606,260.627075634532,180.744556881794,7410,9.51732853149141,11.2255535507548,22.6913617455405,29.2578101921867,19.6768194703837,18.6160522262829,18.49748761944,7.32532982984319,0.377358490566038,0.275053304904051,0.613981762917935,1.53271028037383,1.53054662379422,1.30708661417323,1.15073529411765,1.10068259385665,1.87289433384379,3.138671875,2.60814249363867,2.25904761904763,2.02169570158406,0.80955179792708,0.939456179454883,0.583062443579292
"235",236,508,"nat9",1471,95.6700946556128,112.69434883927,71.8789314748785,90.173525305962,76.2901292558878,112.440380469284,93.1912350001491,17.3551953295574,7421,3.64881605041204,5.83032626279515,4.78689397412057,3.75053447392063,2.95632214481863,4.14387671816077,4.18612827070463,1.0056799835362,0.433104631217839,0.460554371002132,0.254643701452212,0.266488651535381,0.336548767416935,0.392746361250299,0.441176470588235,0.571672354948803,0.395099540581929,0.40234375,0.391857506361324,0.502857142857143,0.450834460889572,0.0725774681373388,0.357347747312466,0.08588348896893
"236",237,510,"abca5",11152,22.5440421069662,82.9555623400182,31.7449392322739,154.867156687794,118.727525996955,172.759247999282,97.2664123938816,62.544208147305,7485,2.67579843696883,10.3727595600773,3.54378584905825,7.31900416755385,5.68228152510593,7.22039125134074,6.13567013168416,2.80798731047946,0.102058319039451,0.339019189765458,0.112462006079027,0.457676902536715,0.523758485173277,0.603435934144595,0.323529411764706,1.01706484641637,0.292496171516079,0.785156249999999,0.753180661577608,0.876190476190477,0.674602969577541,0.298520481549513,0.356401806123087,0.211560938928943
"237",238,511,"dnajb12b",1071,1.98918018590878,3.04344306278893,3.05056473102932,14.2759689362144,13.119958534452,14.7552382632839,8.37239228561289,6.2545546665016,7535,0.243254403360803,0.261059384901275,0.148430820902963,0.655433209034673,0.825466572903902,0.439502076168567,0.428857744545364,0.264572279310529,0.00900514579759864,0.0124378109452736,0.0108071597433299,0.0421895861148197,0.0578778135048231,0.0515390121689335,0.0294117647058824,0.0255972696245732,0.0122511485451761,0.0703124999999999,0.10941475826972,0.0533333333333334,0.0500534624131142,0.03577191520367,0.0306427547124631,0.0223820832070811
"238",239,514,"slc30a6",2338,126.833917568184,205.388928980213,181.222611052711,286.33256682825,210.162298746315,239.362754048827,208.217179537417,53.7322716616786,7564,4.25695205881405,7.24004694126204,5.08375561592649,8.92117423408305,6.60373258323122,5.91758152555534,6.33720715981203,1.65152832517258,0.574185248713553,0.839374555792466,0.642012833502196,0.846194926568759,0.927116827438372,0.836077308518251,0.514705882352941,0.709897610921499,0.419601837672281,0.957031249999999,0.875318066157761,0.718095238095238,0.699108314199953,0.205026416342628,0.7774936167556,0.13715510187271
"239",240,516,"abcc2",5845,2402.26660451584,5421.06773895571,2820.4377541323,8307.07789890265,5349.21766173183,7166.40062835455,5244.41138109881,2326.78300519674,7579,98.1379483558739,243.446578399936,121.212319119882,233.82579732312,181.83300880339,188.075495594706,177.755191266151,58.512238452551,10.8752144082333,22.1545842217484,9.99189463019251,24.5497997329773,23.5977134690961,25.0317346695299,11.8658088235294,23.8703071672354,10.0045941807044,25.083984375,24.1017811704835,22.8228571428572,19.6248888099683,6.79482537041195,19.3668235219629,6.99461531814178
"240",241,518,"gsta.2",1055,46.9825415338455,72.9556779908545,22.3072545956519,105.443390813685,74.5893938903107,125.282902661401,74.5935269142914,37.4700687724984,7584,2.66059503675878,4.49022142030194,1.26166197767519,4.44238063901279,3.57062285023548,3.7043746419922,3.3549760943294,1.22506673340508,0.212692967409949,0.298152096659559,0.0790273556231002,0.311615487316422,0.329046087888532,0.437604390360295,0.321691176470588,0.440273037542661,0.104134762633997,0.4765625,0.473282442748091,0.449523809523809,0.377577954819858,0.145573816291173,0.278023064209643,0.121219215492107
"241",242,520,"gsta.1",2140,550.813465764741,488.776955883902,281.033275846077,873.002606719644,651.300657617675,1053.42837619491,649.725889671158,277.291593913326,7586,46.7048454452741,55.9363242048466,30.3169951694303,52.0887336402278,40.9661782924867,53.0227861891935,46.5059771569098,9.54336914517229,2.49356775300172,1.99751243781094,0.995609591354275,2.57997329773031,2.87316898892462,3.6795514197089,5.6470588235294,5.48464163822523,2.50229709035222,5.587890625,5.43002544529262,6.43428571428572,5.18103322278087,1.36258262705316,2.43656391475513,0.897616084804231
"242",243,522,"gclc",3017,53.992033617524,92.2598025605443,77.4080800498691,264.557196488835,352.862094658071,216.136916041806,176.202687236108,120.293004219609,7604,5.07793567015676,13.7665315637939,6.97624858243928,11.9070366307966,17.7187359718675,10.8148903742908,11.0435631322241,4.58043940893141,0.24442538593482,0.377043354655294,0.274231678486998,0.781842456608814,1.55662736691676,0.754951085659745,0.613970588235294,1.34982935153583,0.575803981623277,1.27734375,2.34860050890585,1.31238095238095,1.24632152211353,0.645061320822711,0.664853554710405,0.495831525203403
"243",244,524,"ncoa4",3005,293.546161720539,1035.72715202511,546.527737593472,1283.03011958383,1397.51854611422,1380.22957921134,989.429882708087,466.480816220765,7617,50.4904920975766,180.113571622887,84.5499063568505,75.5932967753323,104.066378877025,83.11298190402,96.3211046056151,44.5516991285475,1.32890222984563,4.23276474769011,1.93617021276596,3.7917222963952,6.16505894962486,4.82104509663562,6.1047794117647,17.660409556314,6.97856049004593,8.10937499999999,13.7938931297711,10.0857142857143,10.4554553122683,4.46574769494368,3.71261058882623,1.80874293265326
"244",245,528,"abcg2c",2701,147.388779489241,379.560827687819,493.142854800459,138.603394608563,118.565551200233,169.821862604276,241.180545065099,156.255926936911,7634,5.95973288233967,15.9942383149515,20.7432072211891,3.95080573223678,3.01391283595146,4.30084174536383,8.99378978867206,7.47629545675954,0.667238421955404,1.55117270788912,1.74704491725768,0.409612817089453,0.523043944265809,0.593175853018371,0.720588235294117,1.56825938566553,1.71209800918836,0.423828125,0.399491094147583,0.521904761904762,0.891028268533391,0.592956025524402,0.915214776912641,0.578103194461881
"245",246,530,"prdx3",1182,1454.94322169328,1101.81334424567,969.412273432412,787.979272738772,664.420616152127,819.32559134179,966.315719934009,283.434885045023,7684,72.8242870061404,66.9878381656673,54.399895860936,27.2186846529677,26.7988682738104,27.0450741870871,45.8791080244348,21.4998268077501,6.58662092624358,4.50284292821605,3.43431273218507,2.32870493991989,2.93104680242944,2.86184681460271,8.80514705882353,6.56825938566551,4.49004594180703,2.919921875,3.55216284987277,3.28190476190476,4.93624031217893,2.30430256959802,3.77422919059946,1.56133961399282
"246",247,531,"abcg8",2707,421.706199412661,612.427699749212,366.258428019208,893.784080487551,497.100651138683,954.103763070767,624.23013697968,247.120411644825,7694,22.9115241165456,33.5200250213238,18.3126525289031,25.7439599326397,17.3731918250705,27.4060937496542,24.2112411956895,6.04071680881243,1.90909090909091,2.50284292821606,1.29753461668355,2.64138851802403,2.19292604501608,3.33261751371987,2.77022058823529,3.28668941979521,1.5114854517611,2.76171875,2.3027989821883,3.32571428571429,2.65977124628236,0.678982818918474,2.31273342179175,0.691697774633231
"247",248,532,"abcg5",2054,221.083169233862,413.038701378497,242.710556412521,499.207141598637,374.64770481713,679.833940723153,405.0868690273,170.621090083231,7695,7.52568310397484,16.4293372897869,8.60898761237187,13.5456196533833,11.3261692561233,17.4388145222599,12.4791019063167,4.05423149555736,1.00085763293311,1.68798862828713,0.859844647078691,1.47530040053405,1.65273311897106,2.37461226437604,0.909926470588235,1.61092150170648,0.710566615620213,1.453125,1.50127226463104,2.11619047619048,1.38366705478941,0.506830322772526,1.50855611536335,0.544559739426438
"248",249,533,"nat8",4149,147.483502355237,78.4338755038746,83.6045396597724,197.604709262664,113.220382908419,179.52206553662,133.311512537765,49.7108988811371,7701,35.9560414967687,43.5621093605262,46.4217392374018,19.6812027490689,17.5843576925575,17.7841375821066,30.1649313530716,13.407226344901,0.667667238421958,0.320540156361051,0.296183721715637,0.583978638184245,0.499464094319399,0.627057981388688,4.34742647058824,4.27133105802046,3.83154670750382,2.11132812499999,2.33078880407124,2.15809523809523,3.17508606721317,1.08496680577675,0.499148638398496,0.158146320990365
"249",250,534,"slc39a8",7810,127.686423362145,6.60861922205595,201.337272247935,27.4676870671468,10.0424373967411,8.74384489676081,63.6477140321308,81.8654798452285,7702,10.2622951417839,1.46193255544714,24.8992702064721,1.34727937412683,0.42233173497409,0.50228808704979,6.48256618330897,9.77271137803103,0.578044596912524,0.0270078180525941,0.713272543059776,0.0811748998664889,0.0443015362629513,0.0305416368408494,1.24080882352941,0.14334470989761,2.05513016845329,0.14453125,0.0559796437659034,0.0609523809523809,0.616791162766433,0.840102900408848,0.245723838499197,0.313313342251018
"250",251,535,"adh8b",2561,1458.44796773512,4055.3444034082,1260.26455450649,611.336745711562,1242.18471605818,2351.20623048133,1829.79743631681,1226.14271014436,7719,56.7999031847475,186.378996860517,57.8880201521557,19.1532148862355,45.151101848139,64.387054158695,71.626381848415,58.4525641376152,6.60248713550602,16.5732054015636,4.46470786896319,1.80667556742323,5.47981421936406,8.21259842519684,6.86764705882353,18.2747440273037,4.77794793261868,2.0546875,5.98473282442748,7.81333333333334,7.62884877941778,5.58302024212204,7.18991476966948,5.07479175966199
"251",252,536,"adh8a",1480,38532.219935507,36908.0948889895,40205.2991931924,16348.8757674463,43639.8976319285,36491.6169411722,35354.334059706,9666.39969214155,7720,1817.15600330583,1888.99090122764,2048.01135911386,559.976644729985,2102.5785425685,1142.97223858452,1593.28094825506,612.245689308287,174.43782161235,150.834399431414,142.434312732185,48.3156208277705,192.514469453377,127.462658076831,219.711397058824,185.218430034129,169.038284839203,60.072265625,278.694656488549,138.699047619048,175.239013610792,74.0505903805617,139.333213688988,50.2545238793075
"252",253,542,"nfkb2",3706,147.009888025258,66.2601032527189,203.053214909139,348.586633898198,309.614823933396,222.011686831817,216.089391808421,103.661308745442,7791,10.2470917415738,6.3524450325977,13.5443124073954,13.0358382685785,14.0905224304992,8.25636043088093,10.9210950519209,3.15678102302118,0.665523156089193,0.270788912579957,0.719351570415399,1.03017356475301,1.36584494462308,0.77547124791219,1.23897058823529,0.62286689419795,1.11791730474732,1.3984375,1.86768447837151,1.00190476190476,1.20796358790947,0.416024064795826,0.804525566062138,0.368318262443629
"253",254,544,"abcb10",3504,15.155658559305,39.4778043001764,23.8325369611666,96.4079674363342,77.6669150280216,88.2581844266794,56.7998444519472,34.9714164757769,7815,1.21627201680401,4.31618183036775,3.00572412328501,3.71412151786315,2.68756558619875,2.85676349509568,2.96610476160239,1.05216548818497,0.0686106346483706,0.161336176261549,0.0844309354947653,0.284913217623498,0.342622365130404,0.308279646862324,0.147058823529411,0.423208191126278,0.248085758039816,0.3984375,0.356234096692112,0.346666666666666,0.319948506009047,0.103835144148757,0.208365496003485,0.11913878596921
"254",255,545,"gsto1",1413,5.11503476376544,198.780309758157,0,0.722833870188072,1.13382357705141,35.5218698930908,40.2123119770421,78.8685060164815,7838,0.608136008402007,27.8463343894694,0,0.109238868172446,0.0383937940885536,3.4218375930267,5.33732344219318,11.1048495613596,0.0231560891938251,0.812366737739872,0,0.00213618157543391,0.00500178635226867,0.124075399665951,0.0735294117647058,2.73037542662115,0,0.01171875,0.00508905852417303,0.415238095238096,0.539325123691354,1.08514634163122,0.161122699087892,0.322532808261539
"255",256,546,"gsto2",1160,66.4954519289506,409.908302799628,20.2099913430693,169.233479857782,79.2056755968771,181.024913878251,154.346302567427,139.715244751703,7839,3.49678204831154,26.5236335059696,0.779261809740557,4.87933611170257,2.30362764531322,7.3930527812641,7.56261565038359,9.55981993359413,0.301029159519726,1.67519545131485,0.0715974332995611,0.500133511348464,0.34941050375134,0.63230732522071,0.422794117647059,2.60068259385665,0.0643185298621744,0.5234375,0.305343511450382,0.897142857142857,0.80228651832652,0.922664243457189,0.588278897409108,0.565265594823216
"256",257,547,"cyp17a1",2799,1.13667439194787,1.39128825727494,0.571980887067998,33.9731918988394,10.8523113803492,17.2144446404978,10.8566485759962,13.1502205181466,7868,0.0608136008402007,0.0348079179868367,0.0371077052257408,0.98314981355201,0.345544146796982,0.376716065287343,0.306356541614852,0.366349611864448,0.00514579759862777,0.00568585643212509,0.00202634245187437,0.100400534045394,0.0478742408002858,0.0601288475304221,0.00735294117647058,0.00341296928327643,0.00306278713629402,0.10546875,0.0458015267175572,0.0457142857142858,0.0351355433379807,0.0399481897686834,0.0368769364764549,0.0397269482110946
"257",258,548,"hif1an",2160,48.1192159257933,64.5209929311252,64.4431799429945,356.718514937814,423.32113123198,341.624752567975,216.457964589614,174.736023143323,7882,4.43939286133465,7.83178154703826,7.88538736046993,19.0075630620055,25.5318730688881,16.9679194406507,13.6106528900645,8.1584238495664,0.217838765008576,0.263681592039801,0.228301249577846,1.05420560747664,1.86745266166488,1.1932712956335,0.536764705882352,0.767918088737198,0.65084226646248,2.0390625,3.38422391857506,2.05904761904762,1.57297651645078,1.12305867842587,0.80412519523354,0.680003600549427
"258",259,549,"dnajb12a",2028,100.879852285374,101.042309684592,157.485404239389,199.773210873228,142.780783310117,168.865504568693,145.137844160232,39.0108424558346,7884,8.9395993235095,11.9043079514982,15.8820978366171,10.1410082620087,6.33497602461134,7.15760524045951,10.059932439784,3.48883516330413,0.456689536878217,0.412935323383083,0.55791962174941,0.590387182910547,0.62986780993212,0.589835361488903,1.08088235294118,1.16723549488055,1.31087289433384,1.087890625,0.839694656488549,0.868571428571429,1.05919124203592,0.179346612961149,0.539605806057047,0.0854457729067598
