"","X","Geneid","E1_cpm","E2_cpm","E3_cpm","CPM_mean_E13","L1_CPM","L2_CPM","L3_CPM","CPM_mean_UN13","FC_E1","FC_E2","FC_E3","FC_UN1","FC_UN2","FC_UN3","mean_FC_un","sd_FC_un","mean_FC_e","sd_FC_e"
"53",53,"naa60",47.3614329978281,38.6082491393795,28.7897046490892,38.2531289287656,3.74003645167234,5.04714810809133,2.89440100760778,3.89386185579048,0.0102498923761301,0.0078178648777138,0.00595931093000768,0.0146909525231412,0.0166503990354252,0.0103923789221237,0.0139112434935634,0.00320104101234663,0.00800902272795052,0.00215166871967614
"54",54,"sult3st1",303.776231248069,146.259178046028,62.7272372817905,170.920882191963,20.7982514873486,31.1704905572123,6.15987906747298,19.3762070373446,0.0657428097004981,0.0296163259556636,0.0129841940130631,0.0816960286652731,0.102830567836022,0.0221171141163147,0.0688812368725367,0.0418548631506451,0.036114443223075,0.0269728943261451
"55",55,"hsd17b14",89.1342169019125,69.9122349280656,87.8943963127824,82.3136160475868,11.6762113613185,10.5816070679984,12.319758134946,11.5258588547543,0.0192902974518768,0.0141566742380223,0.0181936578724076,0.0458644371454164,0.0349084228053052,0.0442342282326295,0.0416690293944504,0.00591132357131017,0.0172135431874356,0.00270351445755886
"56",56,"aldh16a1",309.459603207809,311.387703081347,133.366876834688,251.404727707948,17.1342320367265,17.3865550344249,7.75551039217983,14.0920991544437,0.0669727967856339,0.0630535453312908,0.0276062118909958,0.0673036727381306,0.0573577539185851,0.0278462460862034,0.0508358909143064,0.0205212853467562,0.0525441846693069,0.0216856403573754
"57",57,"fthl27",850.042999445019,1419.98357758123,740.905909048747,1003.644162025,106.271767468251,195.568287209042,99.7640654994042,133.868040058899,0.183965068366782,0.287535435705104,0.153363458768277,0.417438041206332,0.64517425503818,0.358203983745253,0.473605426663255,0.15150599177354,0.208287987613388,0.0703152412304171
"58",58,"fthl31",42.2463982340627,29.9126975314112,40.8013032775172,37.6534663476637,3.58800244957184,3.56781159365076,3.80353978563843,3.65311794295368,0.00914290399950802,0.00605708449985034,0.00844564595378574,0.0140937593311436,0.0117701096629729,0.0136566517886883,0.0131735069276016,0.00123487192157458,0.00788187815104803,0.00161831582136172
"59",59,"hsd3b7",2032.84742713278,1858.67415620324,1083.9991111417,1658.50689815924,100.646509390532,112.272939466542,58.6301742566705,90.5165410379148,0.439945880568255,0.376366805768317,0.224381869487144,0.395341893102418,0.370385255784578,0.21051229098661,0.325413146624535,0.100286406886971,0.346898185274572,0.11076217952757
"60",60,"rarab",3.031131711861,8.78250712404804,7.81707212326264,6.54357031972389,0.973017613443211,2.48876613605883,2.91295486022066,2.12491286990757,0.000655993112072324,0.0017783881816421,0.00161809104722063,0.00382203642878471,0.00821036917953724,0.0104589967357271,0.00749713411468303,0.00337547607342809,0.00135082411364502,0.000607055502722626
"61",61,"aldh3b1",8.71450367160037,5.56515302909975,2.47858384396133,5.58608018155382,0.334474804621104,0.417695015842041,0.111323115677222,0.287830978713456,0.00188598019720793,0.00112689944183262,0.000513053258874835,0.00131382502239475,0.00137796405810415,0.000399706881620143,0.00103049865403968,0.000547222211802087,0.0011753109659718,0.000687742576297469
"62",62,"clpp",350.474604183928,202.954174529982,332.892876273575,295.440551662495,17.7575714453386,11.4344010586759,22.1718538723801,17.1212754587982,0.0758492035833625,0.0410966140193335,0.0689069992304201,0.069752164825321,0.0377217660906012,0.079608287256012,0.0623607393906448,0.0218996584745604,0.061950938944372,0.0183909135547644
"63",63,"thraa",90.9339513558299,35.999583656989,86.9410948343357,71.2915432823849,6.96315729620298,6.71792817145949,15.9748670996814,9.88531752244796,0.0196797933621697,0.00728963076435476,0.0179963296959173,0.0273514481934906,0.0221622552678417,0.0573579375124907,0.0356238803246077,0.0190002332140826,0.0149885846074806,0.00672041145971245
"64",64,"abcc1",6.72532348569159,15.9998149586618,16.2061251335933,12.9770878593156,0.456102006301505,1.02683358061168,1.3173235355138,0.933419707475662,0.00145548471741047,0.00323983589526879,0.00335457900033546,0.00179157957599283,0.00338749497617269,0.00472986476583838,0.00330297977266797,0.00147096467630396,0.00268329987100491,0.00106486573500474
