"","Geneid","L1_CPM","L2_CPM","L3_CPM","L4_CPM","L5_CPM","L6_CPM","mean_CPM","std_CPM"
"31","dcun1d2b",35.3783122887868,25.1835286634764,23.5633928183454,15.8578423630333,11.8636823733631,14.4878720108424,21.0557717529746,8.75342209707668
"32","tmco3",0.608136008402007,1.11385337557878,0.426738610096019,0.764672077207119,1.11342002856805,1.08305868770111,0.851646464592181,0.296053390832621
"33","tfdp1b",0.790576810922609,0.870197949670918,0.705046399289076,1.56575711047172,1.80450832216202,1.72661529923365,1.243783648625,0.507228944067959
"34","grk1a",0,0,0,0,0,0.0313930054406119,0.00523216757343532,0.0128161408036526
"35","cenpe",0.0912204012603011,0.20884750792102,0.148430820902963,3.67770856180567,0.998238646302394,1.50686426114937,1.10521836655695,1.38112887792527
"36","tmem255b",0,0,0,0.0728259121149637,0,0,0.0121376520191606,0.0297310541224055
"37","gas6",3.07108684243014,4.28137391238092,3.4510165859939,6.68177743654792,5.73987221623876,7.47153529486563,5.11611038140954,1.79108136455621
"38","LOC141383826",0.0608136008402007,0,0.0185538526128704,0.0182064780287409,0,0.0470895081609178,0.0241105732737883,0.0249139264405884
"39","pros1",122.189727488173,40.516416536678,91.3777241183868,19.7722351392127,18.1602646038859,18.3492116800377,51.7275965943957,44.5528058448191
"40","rasa3",1.24667881722411,3.16752053680214,3.91486290131566,2.03912553921898,2.55318730688881,1.38129223938692,2.38377789013944,1.03960862084866
"41","tpp2",1.15545841596381,4.82089664117689,3.59944740689686,3.02227535277099,5.2983435842204,2.57422644613018,3.41177464119319,1.51816651508244
"42","mettl21ca",0,0,0.111323115677222,0,0,0,0.0185538526128704,0.0454474716643369
"43","mettl21e",0,0,0,0,0,0,0,0
"44","ercc5",1.09464481512361,6.38725295058454,2.54187780796325,4.27852233675412,6.50774809800984,4.4735032752872,4.21392488062042,2.1251909639763
"45","blzf1",4.07451125629345,7.18783506428178,8.16369514966298,13.8915427359293,10.9998220063706,9.00979256145561,8.88786646233229,3.34947511197058
"46","trmt10c",4.94110506826631,8.31909239885398,4.91677094241066,13.1632836147797,10.6542778595736,11.3799644722218,8.89574905935101,3.44324294222592
"47","txnl4b",4.3937826607045,4.97753227211765,1.59563132470686,4.60623894127145,2.26523385122466,3.12360404134088,3.49367051522767,1.37828986007587
"48","si:ch73-41e3.7",0,0.0522118769802551,0.0556615578386112,0.291303648459855,0.0383937940885536,0.125572021762448,0.0938571498549537,0.104947161300815
"49","mrpl16",42.5999273885606,38.3757295804875,27.3112710461452,19.3352796665229,14.2440976068534,20.4054535363977,27.0452931374946,11.2942336223897
"50","cenpq",0.136830601890452,0.0696158359736734,0.0371077052257408,0.254890692402373,0.211165867487045,0.470895081609178,0.196750964098077,0.157469219421849
"51","LOC101885604",0,0.0348079179868367,0.0371077052257408,0.0364129560574819,0,0.0313930054406119,0.0232869307851119,0.0181455792345886
"52","mir155",0,0,0,0,0,0,0,0
"53","mrpl39",6.68949609242208,7.97101321898561,7.38443333992242,15.3116480221711,10.3663244039095,10.3282987899613,9.67520231122867,3.15404595961968
"54","jam2a",1.55074682142512,2.78463343894694,1.96670837696426,2.0027125831615,1.30538899901082,1.28711322306509,1.81621724042896,0.566856088504947
