"","Geneid","E4_cpm","E5_cpm","E6_cpm","CPM_mean_E46","L4_CPM","L5_CPM","L6_CPM","CPM_mean_UN46"
"39","gpx4b",1639.47757182032,901.389743755872,2678.14405607428,1739.67045721682,65.8892439860134,40.1983024107156,101.415104075897,69.167550157542
"40","txn2",240.432616071308,157.439502413424,175.833255970799,191.23512481851,11.4336682020493,11.2109878738577,9.48068764306479,10.7084479063239
"41","cyp2k22",5.24054555886352,7.77479024263825,11.3396738504867,8.11833655066282,0.145651824229927,0.42233173497409,0.470895081609178,0.346292880271065
"42","dnaja3a",1088.13603733437,1060.36800673815,996.456761789452,1048.32026862066,45.6982598521397,53.1754048126467,39.0215057626806,45.9650568091557
"43","hmox2b",16.9865959494197,22.352521947585,13.9355028042125,17.7582069004057,3.27716604517337,5.41352496648606,2.52713693796926,3.73927598320956
"44","abca3b",176.190755858343,217.046227606984,247.628419927796,213.621801131041,7.88340498644482,12.5163768728685,8.91561354513378,9.77179846814903
"45","cyp2k18",96.0465505012401,82.6071463280314,85.6623554729535,88.1053507674083,3.85977334209308,5.43272186353033,4.23805573448261,4.51018364670201
"46","cyp2k19",598.596798749497,322.005895882601,407.203589293681,442.602094641926,50.7778672221584,42.0795983210547,39.4767043415695,44.1113899615942
"47","cyp2k21",124.508134139895,58.3919142181477,88.6680521562151,90.5227001714193,7.57389485995623,3.53222905614693,4.42641376712628,5.17751256107648
"48","cyp2k16",14.0952604686674,12.7960089410088,22.6793477009733,16.5235390368832,0.327716604517337,0.556710014284027,0.612163606091932,0.498863408297765
"49","cyp2k6",7753.11609163726,4585.10155819755,6928.13085491782,6422.11616825088,245.259465525169,173.386374103908,203.316799736123,207.3208797884
"50","dnajc7",358.254536911963,465.839515371408,348.11432495229,390.73612574522,17.3143606053326,26.702883788589,14.5349615190033,19.517401970975
"51","nfe2l1a",144.386065570067,94.593281285432,100.759150177517,113.246165677672,9.50378153100276,8.65780056696884,5.8077060065132,7.98976270149493
"52","hmox1a",142.578980894597,223.201269882406,857.648224053375,407.809491610126,8.30215398110586,12.6507551521784,40.889389586397,20.6140995732271
"53","naa60",76.4396817723886,75.5612426706405,83.4080829605074,78.4696691345122,4.04183812238049,4.5496645994936,4.7403438215324,4.44394884780216
"54","sult3st1",551.251180252179,309.857786128478,592.327180467289,484.478715615982,27.054826350709,22.191612983184,29.9960166985047,26.4141520107992
"55","hsd17b14",71.7412616161662,81.2303605558975,60.2505562417424,71.0740594712687,4.58803246324271,6.89168603889537,4.26944873992322,5.24972241402043
"56","aldh16a1",547.727365135012,739.414947034241,469.161927741822,585.434746637025,17.077676390959,28.4498014196182,13.3420273122601,19.6231683742791
"57","fthl27",1200.53670414861,753.101817357219,1136.6998365789,1030.11278602824,111.714949184354,79.2255941017304,94.2888918408778,95.0764783756541
"58","fthl31",19.6068687288515,16.6834040623279,18.3757365408489,18.2220031106761,1.34727937412683,1.11342002856805,1.3185062285057,1.25973521040019
"59","hsd3b7",680.27702608075,432.391719848392,1679.91120079017,930.859982239771,22.7034781018399,16.989253884185,55.7068881543658,31.7998733801302
"60","rarab",75.084368265786,72.0787845411254,55.4004547755704,67.5212025274939,5.26167215030613,7.21803328864808,4.55198578888873,5.67723040928098
"61","aldh3b1",74.0001174605039,69.6491625903009,65.9887044552417,69.8793281686822,2.43966805585128,2.80274696846441,2.13472436996161,2.4590464647591
"62","clpp",475.805395051299,364.68625481875,387.734872140737,409.408840670262,17.077676390959,13.8985534600564,12.7141672034478,14.5634656848211
"63","thraa",188.930702820407,148.449901195374,168.455636839157,168.612080284979,10.2684536082099,13.2074651664624,9.33941911858204,10.9384459644181
"64","abcc1",334.401019195757,140.027211765849,252.888389123504,242.438873361703,10.6689961248422,5.45191876057461,8.83713103153225,8.31934863898302
"65","abcc6b.2",29.3651259763904,16.9263662574103,30.9450135799425,25.7455019379144,0.600813774948451,0.47992242610692,0.769128633294991,0.616621611450121
"66","cyp3c4",140.681541985354,24.7011565000486,34.4288892809957,66.6038625887994,4.16928346858167,0.53751311723975,1.33420273122601,2.01366643901581
"67","cyp3c3",53.2186436925968,22.6764715410282,43.3093567542684,39.7348239959645,2.03912553921898,1.09422313152378,4.83452283785423,2.65595716953233
"68","cyp3c2",128.75478312725,82.3641841329489,124.189922049306,111.769629769835,3.45923082546078,2.55318730688881,2.96663901413782,2.99301904882914
"69","cyp3c1",9300.7937619437,3066.1019145421,3366.2436626764,5244.37977972073,278.413462015506,113.06972359079,95.0894134796134,162.19086636197
"70","mafk",4.69842015622247,1.6197479672163,0.956358035583214,2.42484205300733,1.56575711047172,1.40137348423221,0.65925311425285,1.20879456965226
"71","slc16a5b",21.5043076380952,30.4512617836665,13.7988802277006,21.9181498831541,0.98314981355201,1.80450832216202,1.00457617409958,1.2640781032712
"72","dnajb1a",43.9121576139254,45.0289934886132,34.7021344340195,41.214428512186,2.38504862176506,2.11165867487045,1.89927682915702,2.13199470859751
"73","dnajc2",147.819526453461,134.925005669118,76.5086428466571,119.751058323079,5.88069240328332,5.77826601032732,2.62131595429109,4.76009145596724
"74","aldh1l2",34.1539003663864,40.8176487738508,14.2087479572363,29.7267656991578,1.49293119835676,1.45896417536504,0.612163606091932,1.18801965993791
"75","hspa14",716.780136525247,651.8675694062,670.95347324988,679.867059727109,29.4580814505028,29.8511749038504,25.396941401455,28.2353992519361
"76","hsp90b1",7164.91002977172,3798.38997052059,4195.06452308577,5052.78817445936,249.15565182332,156.454710910856,131.787836839689,179.132733191288
"77","mgst1.1",113.123500684433,71.9168097444038,48.0228356439285,77.6877153575884,12.58067631786,9.0993291989872,6.87506819149401,9.5183579027804
"78","mgst1.2",8523.92805995907,3337.08574945738,4552.12762679958,5471.04714540534,317.957932293932,155.648441234996,160.873456380416,211.493276636448
"79","abcc9",70.6570108108841,41.4655479607373,47.9545243556726,53.359027709098,1.56575711047172,0.883057264036733,1.24002371490417,1.22961269647087
"80","akr1b1.1",101.829221462745,129.984774369108,177.131170447662,136.315055426505,4.29672881478286,6.21979464234568,5.99606403915687,5.50419583209514
"81","akr1b1.2",110.774290606322,70.2160743788267,145.84460042644,108.94498847053,5.04319441396124,4.95279943742341,6.81228218061278,5.60275867733248
"82","dnajb9b",48.2491608350538,11.824160160679,10.3833158149035,23.4855456035454,2.73097170431114,0.595103808372581,0.674949616973156,1.33367504321896
"83","pparaa",109.057560164625,90.5439113673912,103.218356554731,100.939942695582,8.92117423408305,9.36808575760708,9.65334917298816,9.31420305489276
